,folioviv,foliohog,tot_integ,edad_jefe,jefe_es_hombre,alimentos,gasto_mon,transporte,ing_cor,jefe_termino_sec,tiene_auto,tasa_ahorro
83740,3100432406,1,5,69,1,22337.5,52517.68,7163.45,49801.43,1,1,-0.055
83741,3100436901,1,4,43,1,27004.39,136025.68,14427.92,384792.11,1,1,0.646
83742,3100442502,1,3,72,1,29575.03,79316.45,5022.58,102421.34,1,1,0.226
83743,3100442503,1,4,85,1,45244.23,198795.27,7361.51,333424.18,1,1,0.404
83744,3100442504,1,2,75,1,38299.84,170194.18,12260.32,135769.94,1,1,-0.254
83745,3100442505,1,2,75,1,26604.11,95980.85,12861.67,162051.24,1,1,0.408
83747,3100452303,1,1,83,1,6749.9,13518.85,2375.79,41317.29,1,1,0.673
83748,3100452304,1,6,54,1,26824.08,73667.09,23180.33,345706.27,1,1,0.787
83750,3100452306,1,2,66,0,29908.71,67983.04,12135.64,37527.99,1,1,-0.812
83751,3100466002,1,3,40,0,7261.6,32728.8,6770.05,41549.86,1,1,0.212
83752,3100466004,1,3,56,1,20359.02,64550.41,11301.01,231257.09,1,1,0.721
83753,3100466005,1,5,31,1,15993.19,83502.05,3583.72,83218.19,1,1,-0.003
83754,3100466006,1,5,49,1,27276.2,65997.18,9396.17,80389.62,1,1,0.179
83758,3100544604,1,3,47,1,16511.62,38153.46,9539.16,65852.42,1,1,0.421
83767,3100565703,1,3,60,0,14102.34,41030.41,12960.0,125010.02,1,1,0.672
83768,3100565704,1,3,35,1,21297.74,89665.44,23582.09,183565.51,1,1,0.512
83769,3100569501,1,2,54,0,3610.88,23645.16,12382.33,58914.62,1,1,0.599
83772,3100569505,1,6,51,1,34789.24,63066.62,6088.04,50331.92,1,1,-0.253
83774,3100577601,1,2,57,0,7142.28,11790.78,3717.0,41707.42,1,1,0.717
83775,3100577605,1,5,28,0,20087.25,44498.92,17106.44,88851.64,1,1,0.499
83777,3100583803,1,4,47,1,29378.47,103512.09,15060.0,108663.91,1,1,0.047
83781,3100597802,1,4,57,1,11698.6,25718.83,9125.53,124221.06,1,1,0.793
83782,3100597804,1,2,73,1,18249.21,47393.79,8281.86,65693.64,1,1,0.279
83783,3100597806,1,3,78,0,3908.47,29143.88,12880.32,114245.87,1,1,0.745
